Time, Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV), Filtered ECG, Filtered ECG (mV)
2023-10-26 13:47:43.978,94672,203964,185358,-10784,-3.3017912,6778,2.07525415
2023-10-26 13:47:44.009,94673,203986,185370,61835,18.932331125,1782,0.54560385
2023-10-26 13:47:44.039,94674,203994,185369,27510,8.42287425,12396,3.7953453
2023-10-26 13:47:44.078,94675,204032,185376,-49022,-15.00931085,17408,5.3298944
2023-10-26 13:47:44.078,94676,204021,185361,-12562,-3.84617035,6527,1.998404225
2023-10-26 13:47:44.078,94677,204049,185373,61042,18.68953435,999,0.305868825
2023-10-26 13:47:44.078,94678,204052,185377,28506,8.72782455,11407,3.492538225
2023-10-26 13:47:44.109,94679,204070,185375,-47708,-14.6069969,16688,5.1094484
2023-10-26 13:47:44.109,94680,204066,185363,-13921,-4.262262175,6040,1.849297
2023-10-26 13:47:44.109,94681,204064,185361,60026,18.37846055,302,0.09246485
2023-10-26 13:47:44.109,94682,204069,185338,28427,8.703636725,10570,3.23626975
2023-10-26 13:47:44.109,94683,204063,185333,-48367,-14.808766225,16217,4.965239975
2023-10-26 13:47:44.109,94684,204032,185308,-13900,-4.2558325,5932,1.8162301
2023-10-26 13:47:44.109,94685,203993,185302,60549,18.538590075,235,0.071951125
2023-10-26 13:47:44.109,94686,203956,185265,30982,9.48591385,10428,3.1927929
2023-10-26 13:47:44.143,94687,203918,185228,-47993,-14.694256775,15826,4.84552555
2023-10-26 13:47:44.143,94688,203842,185199,-16059,-4.916864325,5033,1.540978775
2023-10-26 13:47:44.143,94689,203773,185167,59020,18.0704485,-1156,-0.3539383
2023-10-26 13:47:44.143,94690,203694,185109,29425,9.009199375,8994,2.75373795
2023-10-26 13:47:44.143,94691,203601,185075,-47596,-14.5727053,14847,4.545780225
2023-10-26 13:47:44.144,94692,203505,185039,-15193,-4.651716775,4509,1.380543075
2023-10-26 13:47:44.144,94693,203403,184993,60089,18.397749575,-1350,-0.41333625
2023-10-26 13:47:44.147,94694,203326,184958,32443,9.933235525,9319,2.853244825
2023-10-26 13:47:44.147,94695,203231,184924,-46511,-14.240505425,15816,4.8424638
2023-10-26 13:47:44.178,94696,203121,184873,-17578,-5.38194415,5565,1.703863875
2023-10-26 13:47:44.178,94697,202996,184834,58015,17.762742625,-1163,-0.356081525
2023-10-26 13:47:44.178,94698,202900,184766,31838,9.74799965,8456,2.5890158
2023-10-26 13:47:44.178,94699,202780,184719,-47136,-14.4318648,14501,4.439843675
2023-10-26 13:47:44.178,94700,202644,184674,-18177,-5.565342975,4448,1.3618664
2023-10-26 13:47:44.178,94701,202566,184623,57973,17.749883275,-1617,-0.495084975
2023-10-26 13:47:44.178,94702,202435,184574,33240,10.177257,8907,2.727100725
2023-10-26 13:47:44.209,94703,202340,184540,-47601,-14.574236175,15722,4.81368335
2023-10-26 13:47:44.209,94704,202254,184483,-20264,-6.2043302,5552,1.6998836
2023-10-26 13:47:44.209,94705,202159,184453,57041,17.464528175,-1500,-0.4592625
2023-10-26 13:47:44.209,94706,202080,184422,33578,10.28074415,8059,2.467464325
2023-10-26 13:47:44.209,94707,202018,184402,-47921,-14.672212175,14513,4.443517775
2023-10-26 13:47:44.209,94708,202001,184388,-21902,-6.70584485,4707,1.441165725
2023-10-26 13:47:44.209,94709,201955,184381,55827,17.092831725,-1695,-0.518966625
2023-10-26 13:47:44.209,94710,201936,184362,34524,10.5703857,8472,2.5939146
2023-10-26 13:47:44.209,94711,201909,184365,-45534,-13.94137245,15483,4.740507525
2023-10-26 13:47:44.245,94712,201896,184367,-21067,-6.450188725,5680,1.739074
2023-10-26 13:47:44.245,94713,201862,184348,56120,17.182541,-1423,-0.435687025
2023-10-26 13:47:44.245,94714,201846,184312,35351,10.823592425,8154,2.49655095
2023-10-26 13:47:44.245,94715,201823,184322,-47210,-14.45452175,15116,4.6281413
2023-10-26 13:47:44.245,94716,201808,184310,-24076,-7.3714693,5395,1.651814125
2023-10-26 13:47:44.245,94717,201803,184297,56060,17.1641705,-1855,-0.567954625
