Time,Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV),Filtered ECG, Filtered ECG (mV)
38:50.6,53883,204,0,-475,-0.145433125,-978,-0.29943915
38:50.6,53884,200,9,-1648,-0.5045764,-960,-0.293928
38:50.6,53885,205,0,-924,-0.2829057,-947,-0.289947725
38:50.6,53886,202,9,63,0.019289025,-952,-0.2914786
38:50.6,53887,204,0,-578,-0.17696915,-945,-0.289335375
38:50.6,53888,201,9,-1492,-0.4568131,-917,-0.280762475
38:50.7,53889,205,0,-878,-0.26882165,-894,-0.27372045
38:50.7,53890,200,11,69,0.021126075,-885,-0.270964875
38:50.7,53891,206,0,-443,-0.135635525,-866,-0.26514755
38:50.7,53892,201,9,-1521,-0.465692175,-835,-0.255656125
38:50.7,53893,206,0,-866,-0.26514755,-826,-0.25290055
38:50.7,53894,202,9,200,0.061235,-847,-0.259330225
38:50.7,53895,207,0,-463,-0.141759025,-862,-0.26392285
38:50.7,53896,201,9,-1755,-0.537337125,-855,-0.261779625
38:50.7,53897,206,0,-980,-0.3000515,-856,-0.2620858
38:50.7,53898,200,8,174,0.05327445,-875,-0.267903125
38:50.7,53899,208,0,-545,-0.166865375,-878,-0.26882165
38:50.7,53900,202,8,-1622,-0.49661585,-858,-0.26269815
38:50.7,53901,207,0,-1066,-0.32638255,-851,-0.260554925
38:50.7,53902,201,8,190,0.05817325,-868,-0.2657599
38:50.7,53903,209,0,-474,-0.14512695,-872,-0.2669846
38:50.8,53904,202,7,-1773,-0.542848275,-847,-0.259330225
38:50.8,53905,210,0,-967,-0.296071225,-821,-0.251369675
38:50.8,53906,201,7,123,0.037659525,-811,-0.248307925
38:50.8,53907,210,0,-443,-0.135635525,-793,-0.242796775
38:50.8,53908,202,7,-1435,-0.439361125,-757,-0.231774475
38:50.8,53909,211,0,-684,-0.2094237,-733,-0.224426275
38:50.8,53910,203,6,460,0.1408405,-737,-0.225650975
38:50.8,53911,210,0,-134,-0.04102745,-736,-0.2253448
38:50.8,53912,202,6,-1492,-0.4568131,-712,-0.2179966
38:50.8,53913,212,0,-694,-0.21248545,-699,-0.214016325
38:50.8,53914,201,5,647,0.198095225,-709,-0.217078075
38:50.8,53915,211,0,-142,-0.04347685,-711,-0.217690425
38:50.8,53916,202,5,-1185,-0.362817375,-697,-0.213403975
38:50.8,53917,211,0,-479,-0.146657825,-698,-0.21371015
38:50.8,53918,203,5,611,0.187072925,-724,-0.2216707
38:50.8,53919,213,0,254,0.07776845,-741,-0.226875675
38:50.8,53920,202,4,-847,-0.259330225,-734,-0.22473245
38:50.9,53921,213,0,-195,-0.059704125,-735,-0.225038625
38:50.9,53922,201,5,504,0.1543122,-756,-0.2314683
38:50.9,53923,215,0,-198,-0.06062265,-765,-0.234223875
38:50.9,53924,202,4,-1348,-0.4127239,-748,-0.2290189
38:50.9,53925,214,0,-694,-0.21248545,-736,-0.2253448
38:50.9,53926,202,5,317,0.097057475,-744,-0.2277942
38:50.9,53927,214,0,-452,-0.1383911,-738,-0.22595715
38:50.9,53928,201,3,-1637,-0.501208475,-703,-0.215241025
38:50.9,53929,215,0,-1291,-0.395271925,-670,-0.20513725
38:50.9,53930,201,2,-53,-0.016227275,-654,-0.20023845
38:50.9,53931,215,0,-838,-0.25657465,-622,-0.19044085
38:50.9,53932,202,3,-2149,-0.657970075,-564,-0.1726827
38:50.9,53933,215,0,-1685,-0.515904875,-515,-0.157680125
38:50.9,53934,200,5,-407,-0.124613225,-493,-0.150944275
38:50.9,53935,216,0,-972,-0.2976021,-465,-0.142371375
38:50.9,53936,202,3,-1988,-0.6086759,-412,-0.1261441
38:50.9,53937,215,0,-1530,-0.46844775,-362,-0.11083535
38:50.9,53938,201,2,-223,-0.068277025,-332,-0.1016501
38:50.9,53939,214,0,-522,-0.15982335,-298,-0.09124015
38:50.9,53940,200,2,-1851,-0.566729925,-251,-0.076849925
38:50.9,53941,215,0,-1255,-0.384249625,-223,-0.068277025
38:50.9,53942,201,2,-41,-0.012553175,-234,-0.07164495
38:50.9,53943,216,0,-962,-0.29454035,-252,-0.0771561
38:50.9,53944,201,2,-2673,-0.818405775,-259,-0.079299325
38:50.9,53945,216,0,-2848,-0.8719864,-286,-0.08756605
38:50.9,53946,202,0,-1983,-0.607145025,-347,-0.106242725
38:51.0,53947,217,0,-2399,-0.734513825,-412,-0.1261441
38:51.0,53948,202,1,-3037,-0.929853475,-468,-0.1432899
38:51.0,53949,217,0,-2012,-0.6160241,-548,-0.1677839
38:51.0,53950,202,0,-554,-0.16962095,-714,-0.21860895
38:51.0,53951,215,0,-1292,-0.3955781,-767,-0.234836225
38:51.0,53952,199,0,-2571,-0.787175925,-849,-0.259942575
38:51.0,53953,218,0,-1958,-0.59949065,-931,-0.285048925
38:51.0,53954,201,0,-699,-0.214016325,-1026,-0.31413555
38:51.0,53955,217,0,-1464,-0.4482402,-1096,-0.3355678
38:51.0,53956,203,0,-2677,-0.819630475,-1119,-0.342609825
38:51.0,53957,217,0,-1953,-0.597959775,-1129,-0.345671575
38:51.0,53958,200,0,-724,-0.2216707,-1150,-0.35210125
38:51.0,53959,217,0,-1202,-0.36802235,-1157,-0.354244475
38:51.0,53960,200,0,-2383,-0.729615025,-1138,-0.34842715
38:51.0,53961,218,0,-1879,-0.575302825,-1138,-0.34842715
38:51.0,53962,200,0,-552,-0.1690086,-1187,-0.363429725
38:51.0,53963,218,0,-1087,-0.332812225,-1261,-0.386086675
38:51.0,53964,201,0,-2345,-0.717980375,-1639,-0.501820825
38:51.0,53965,220,0,-1880,-0.575609,-2022,-0.61908585
38:51.0,53966,201,0,-576,-0.1763568,-2174,-0.66562445
38:51.0,53967,218,0,-909,-0.278313075,-2003,-0.613268525
38:51.0,53968,201,0,-2385,-0.730227375,-1864,-0.5707102
38:51.0,53969,219,0,-1937,-0.593060975,-1892,-0.5792831
38:51.0,53970,202,0,-615,-0.188297625,-1870,-0.57254725
38:51.0,53971,219,0,-1037,-0.317503475,-1924,-0.5890807
38:51.0,53972,201,0,-2104,-0.6441922,-1926,-0.58969305
38:51.0,53973,219,0,-1710,-0.52355925,-1871,-0.572853425
38:51.0,53974,201,0,-376,-0.1151218,-1876,-0.5743843
38:51.0,53975,219,0,-951,-0.291172425,-1837,-0.562443475
38:51.0,53976,202,0,-2160,-0.661338,-1789,-0.547747075
38:51.0,53977,221,0,-1487,-0.455282225,-1728,-0.5290704
38:51.0,53978,199,0,-326,-0.09981305,-1693,-0.518354275
38:51.0,53979,220,0,-720,-0.220446,-1651,-0.505494925
38:51.0,53980,202,0,-2029,-0.621229075,-1588,-0.4862059
38:51.0,53981,220,0,-1411,-0.432012925,-1546,-0.47334655
38:51.0,53982,201,0,-81,-0.024800175,-1551,-0.474877425
38:51.1,53983,220,0,-648,-0.1984014,-1563,-0.478551525
38:51.1,53984,201,0,-2050,-0.62765875,-1550,-0.47457125
38:51.1,53985,220,0,-1580,-0.4837565,-1533,-0.469366275
38:51.1,53986,201,0,-311,-0.095220425,-1531,-0.468753925
38:51.1,53987,220,0,-654,-0.20023845,-1514,-0.46354895
38:51.1,53988,201,0,-1999,-0.612043825,-1468,-0.4494649
38:51.1,53989,221,0,-1382,-0.42313385,-1431,-0.438136425
38:51.1,53990,201,0,-167,-0.051131225,-1431,-0.438136425
38:51.1,53991,223,0,-738,-0.22595715,-1436,-0.4396673
38:51.1,53992,202,0,-1741,-0.533050675,-1421,-0.435074675
38:51.1,53993,223,0,-1281,-0.392210175,-1405,-0.430175875
38:51.1,53994,201,0,-220,-0.0673585,-1403,-0.429563525
