Time, Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV), Filtered ECG, Filtered ECG (mV),,
40:49.9,61839,142,0,280,0.085729,-307,-0.093995725,,
40:49.9,61840,221,28,-1263,-0.386699025,-280,-0.085729,,
40:49.9,61841,143,0,-316,-0.0967513,-267,-0.081748725,,
40:49.9,61842,220,28,859,0.263004325,-260,-0.0796055,,
40:49.9,61843,142,0,401,0.122776175,-238,-0.07286965,,
40:49.9,61844,222,29,-1161,-0.355469175,-213,-0.065215275,,
40:49.9,61845,138,0,-296,-0.0906278,-213,-0.065215275,,
40:49.9,61846,222,28,327,0.100119225,-236,-0.0722573,,
40:49.9,61847,142,0,-291,-0.089096925,-255,-0.078074625,,
40:49.9,61848,221,30,-1089,-0.333424575,-268,-0.0820549,,
40:50.0,61849,139,0,-421,-0.128899675,-295,-0.090321625,,
40:50.0,61850,220,29,40,0.012247,-328,-0.1004254,,
40:50.0,61851,139,0,-843,-0.258105525,-336,-0.1028748,,
40:50.0,61852,221,29,-1322,-0.40476335,-323,-0.098894525,,
40:50.0,61853,139,0,-173,-0.052968275,-324,-0.0992007,,
40:50.0,61854,222,30,-20,-0.0061235,-328,-0.1004254,,
40:50.0,61855,139,0,-923,-0.282599525,-298,-0.09124015,,
40:50.0,61856,219,31,-1145,-0.350570375,-244,-0.0747067,,
40:50.0,61857,139,0,-538,-0.16472215,-201,-0.061541175,,
40:50.0,61858,219,30,-283,-0.086647525,-203,-0.062153525,,
40:50.0,61859,138,0,-1001,-0.306481175,-157,-0.048069475,,
40:50.0,61860,219,30,-1721,-0.526927175,-126,-0.03857805,,
40:50.0,61861,137,0,-652,-0.1996261,-94,-0.02878045,,
40:50.0,61862,219,29,-109,-0.033373075,-91,-0.027861925,,
40:50.0,61863,138,0,-977,-0.299132975,-84,-0.0257187,,
40:50.0,61864,218,32,-2009,-0.615105575,-67,-0.020513725,,
40:50.0,61865,138,0,-1004,-0.3073997,-72,-0.0220446,,
40:50.0,61866,218,31,-492,-0.1506381,-117,-0.035822475,,
40:50.0,61867,136,0,-1220,-0.3735335,-174,-0.05327445,,
40:50.0,61868,218,32,-2084,-0.6380687,-223,-0.068277025,,
40:50.0,61869,138,0,-1122,-0.34352835,-300,-0.0918525,,
40:50.1,61870,219,31,-561,-0.171764175,-383,-0.117265025,,
40:50.1,61871,137,0,-1071,-0.327913425,-395,-0.120939125,,
40:50.1,61872,218,32,-1933,-0.591836275,-434,-0.13287995,,
40:50.1,61873,136,0,-1130,-0.34597775,-471,-0.144208425,,
40:50.1,61874,218,33,-382,-0.11695885,-516,-0.1579863,,
40:50.1,61875,135,0,-862,-0.26392285,-557,-0.170539475,,
40:50.1,61876,217,35,-1756,-0.5376433,-592,-0.1812556,,
40:50.1,61877,134,0,-1100,-0.3367925,-639,-0.195645825,,
40:50.1,61878,217,35,-601,-0.184011175,-689,-0.210954575,,
40:50.1,61879,137,0,-1243,-0.380575525,-715,-0.218915125,,
40:50.1,61880,215,35,-1943,-0.594898025,-725,-0.221976875,,
40:50.1,61881,135,0,-1175,-0.359755625,-759,-0.232386825,,
40:50.1,61882,215,34,-444,-0.1359417,-813,-0.248920275,,
40:50.1,61883,135,0,-1234,-0.37781995,-855,-0.261779625,,
40:50.1,61884,214,35,-1954,-0.59826595,-888,-0.2718834,,
40:50.1,61885,134,0,-1254,-0.38394345,-939,-0.287498325,,
40:50.1,61886,215,35,-671,-0.205443425,-1003,-0.307093525,,
40:50.1,61887,134,0,-1142,-0.34965185,-1047,-0.320565225,,
40:50.1,61888,215,35,-2113,-0.646947775,-1069,-0.327301075,,
40:50.1,61889,134,0,-1346,-0.41211155,-1100,-0.3367925,,
40:50.1,61890,212,37,-603,-0.184623525,-1144,-0.3502642,,
40:50.1,61891,133,0,-1285,-0.393434875,-1168,-0.3576124,,
40:50.1,61892,214,37,-2389,-0.731452075,-1160,-0.355163,,
40:50.1,61893,133,0,-1388,-0.4249709,-1153,-0.353019775,,
40:50.2,61894,213,37,-606,-0.18554205,-1162,-0.35577535,,
40:50.2,61895,133,0,-1269,-0.388536075,-1162,-0.35577535,,
40:50.2,61896,212,38,-2185,-0.668992375,-1146,-0.35087655,,
40:50.2,61897,131,0,-1176,-0.3600618,-1141,-0.349345675,,
40:50.2,61898,212,37,-848,-0.2596364,-1149,-0.351795075,,
40:50.2,61899,131,0,-1629,-0.498759075,-1147,-0.351182725,,
40:50.2,61900,212,37,-1896,-0.5805078,-1133,-0.346896275,,
40:50.2,61901,131,0,-1212,-0.3710841,-1134,-0.34720245,,
40:50.2,61902,210,38,-893,-0.273414275,-1158,-0.35455065,,
40:50.2,61903,132,0,-1337,-0.409355975,-1180,-0.3612865,,
40:50.2,61904,208,40,-2100,-0.6429675,-1189,-0.364042075,,
40:50.2,61905,130,0,-1447,-0.443035225,-1207,-0.369553225,,
40:50.2,61906,211,41,-717,-0.219527475,-1238,-0.37904465,,
40:50.2,61907,129,0,-1291,-0.395271925,-1255,-0.384249625,,
40:50.2,61908,209,40,-1948,-0.5964289,-1257,-0.384861975,,
40:50.2,61909,129,0,-1250,-0.38271875,-1274,-0.39006695,,
40:50.2,61910,210,40,-690,-0.21126075,-1309,-0.400783075,,
40:50.2,61911,128,0,-1178,-0.36067415,-1328,-0.4066004,,
40:50.2,61912,210,41,-2267,-0.694098725,-1327,-0.406294225,,
40:50.2,61913,126,0,-1410,-0.43170675,-1334,-0.40843745,,
40:50.2,61914,210,43,-599,-0.183398825,-1356,-0.4151733,,
40:50.2,61915,126,0,-1181,-0.361592675,-1372,-0.4200721,,
40:50.2,61916,208,45,-1848,-0.5658114,-1375,-0.420990625,,
40:50.3,61917,126,0,-1222,-0.37414585,-1382,-0.42313385,,
40:50.3,61918,207,44,-563,-0.172376525,-1398,-0.42803265,,
40:50.3,61919,124,0,-1254,-0.38394345,-1403,-0.429563525,,
40:50.3,61920,206,46,-2037,-0.623678475,-1388,-0.4249709,,
40:50.3,61921,125,0,-1249,-0.382412575,-1382,-0.42313385,,
40:50.3,61922,205,46,-827,-0.253206725,-1396,-0.4274203,,
40:50.3,61923,126,0,-1568,-0.4800824,-1402,-0.42925735,,
40:50.3,61924,204,45,-2140,-0.6552145,-1391,-0.425889425,,
40:50.3,61925,126,0,-1300,-0.3980275,-1386,-0.42435855,,
40:50.3,61926,208,47,-663,-0.202994025,-1392,-0.4261956,,
40:50.3,61927,125,0,-1375,-0.420990625,-1382,-0.42313385,,
40:50.3,61928,206,46,-2319,-0.710019825,-1361,-0.416704175,,
40:50.3,61929,126,0,-1591,-0.487124425,-1357,-0.415479475,,
40:50.3,61930,206,49,-1024,-0.3135232,-1369,-0.419153575,,
40:50.3,61931,125,0,-1612,-0.4935541,-1367,-0.418541225,,
40:50.3,61932,204,48,-2183,-0.668380025,-1345,-0.411805375,,
40:50.3,61933,123,0,-1520,-0.465386,-1329,-0.406906575,,
40:50.3,61934,206,47,-802,-0.24555235,-1328,-0.4066004,,
40:50.3,61935,123,0,-1487,-0.455282225,-1320,-0.404151,,
40:50.3,61936,203,50,-2138,-0.65460215,-1300,-0.3980275,,
40:50.3,61937,122,0,-1307,-0.400170725,-1291,-0.395271925,,
40:50.4,61938,205,49,-460,-0.1408405,-1298,-0.39741515,,
40:50.4,61939,121,0,-1427,-0.436911725,-1299,-0.397721325,,
40:50.4,61940,204,50,-2321,-0.710632175,-1290,-0.39496575,,
40:50.4,61941,122,0,-1276,-0.3906793,-1294,-0.39619045,,
40:50.4,61942,205,50,-499,-0.152781325,-1317,-0.403232475,,
40:50.4,61943,123,0,-1205,-0.368940875,-1332,-0.4078251,,
40:50.4,61944,203,52,-1977,-0.605307975,-1335,-0.408743625,,
40:50.4,61945,122,0,-1422,-0.43538085,-1352,-0.4139486,,
40:50.4,61946,205,51,-724,-0.2216707,-1385,-0.424052375,,
40:50.4,61947,123,0,-1469,-0.449771075,-1412,-0.4323191,,
40:50.4,61948,205,52,-2015,-0.616942625,-1427,-0.436911725,,
40:50.4,61949,120,0,-1136,-0.3478148,-1454,-0.44517845,,
40:50.4,61950,205,52,-742,-0.22718185,-1493,-0.457119275,,
40:50.4,61951,120,0,-1707,-0.522640725,-1515,-0.463855125,,
40:50.4,61952,204,50,-2388,-0.7311459,-1516,-0.4641613,,
40:50.4,61953,121,0,-1375,-0.420990625,-1521,-0.465692175,,
40:50.4,61954,203,53,-936,-0.2865798,-1533,-0.469366275,,
40:50.4,61955,119,0,-1617,-0.495084975,-1525,-0.466916875,,
40:50.4,61956,203,52,-2192,-0.6711356,-1497,-0.458343975,,
40:50.5,61957,121,0,-1646,-0.50396405,-1481,-0.453445175,,
40:50.5,61958,203,51,-1103,-0.337711025,-1479,-0.452832825,,
40:50.5,61959,120,0,-1588,-0.4862059,-1462,-0.44762785,,
40:50.5,61960,203,52,-2330,-0.71338775,-1427,-0.436911725,,
40:50.5,61961,118,0,-1407,-0.430788225,-1400,-0.428645,,
40:50.5,61962,203,52,-1061,-0.324851675,-1389,-0.425277075,,
40:50.5,61963,119,0,-2086,-0.63868105,-1370,-0.41945975,,
40:50.5,61964,205,51,-2116,-0.6478663,-1341,-0.410580675,,
40:50.5,61965,120,0,-883,-0.270352525,-1329,-0.406906575,,
40:50.5,61966,203,51,-603,-0.184623525,-1339,-0.409968325,,
40:50.5,61967,119,0,-1309,-0.400783075,-1345,-0.411805375,,
40:50.5,61968,200,51,-1913,-0.585712775,-1342,-0.41088685,,
40:50.5,61969,118,0,-1775,-0.543460625,-1355,-0.414867125,,
40:50.5,61970,204,53,-2067,-0.632863725,-1387,-0.424664725,,
40:50.5,61971,119,0,-3209,-0.982515575,-1411,-0.432012925,,
40:50.5,61972,203,51,-3553,-1.087839775,-1421,-0.435074675,,
40:50.5,61973,117,0,-2262,-0.69256785,-1440,-0.440892,,
40:50.5,61974,203,51,-1553,-0.475489775,-1475,-0.451608125,,
40:50.5,61975,116,0,-1914,-0.58601895,-1504,-0.4604872,,
40:50.5,61976,203,49,-2262,-0.69256785,-1522,-0.46599835,,
40:50.5,61977,117,0,-1392,-0.4261956,-1550,-0.47457125,,
40:50.5,61978,204,53,-1117,-0.341997475,-1587,-0.485899725,,
40:50.5,61979,117,0,-2344,-0.7176742,-1605,-0.491410875,,
40:50.5,61980,203,50,-2437,-0.746148475,-1608,-0.4923294,,
40:50.5,61981,117,0,-1429,-0.437524075,-1617,-0.495084975,,
40:50.5,61982,203,51,-1120,-0.342916,-1626,-0.49784055,,
40:50.6,61983,117,0,-2122,-0.64970335,-1613,-0.493860275,,
40:50.6,61984,201,51,-2419,-0.740637325,-1580,-0.4837565,,
40:50.6,61985,116,0,-1360,-0.416398,-1551,-0.474877425,,
40:50.6,61986,201,51,-788,-0.2412659,-1542,-0.47212185,,
40:50.6,61987,116,0,-1465,-0.448546375,-1549,-0.474265075,,
40:50.6,61988,203,50,-2120,-0.649091,-1579,-0.483450325,,
40:50.6,61989,117,0,-1790,-0.54805325,-2107,-0.645110725,,
40:50.6,61990,203,48,-1249,-0.382412575,-2386,-0.73053355,,
40:50.6,61991,114,0,-1876,-0.5743843,-2379,-0.728390325,,
40:50.6,61992,199,49,-2219,-0.679402325,-2366,-0.72441005,,
40:50.6,61993,116,0,-1253,-0.383637275,-2358,-0.72196065,,
40:50.6,61994,201,49,-969,-0.296683575,-2154,-0.65950095,,
40:50.6,61995,114,0,-2105,-0.644498375,-1879,-0.575302825,,
40:50.6,61996,199,47,-2328,-0.7127754,-1791,-0.548359425,,
40:50.6,61997,116,0,-1518,-0.46477365,-1812,-0.5547891,,
40:50.7,61998,199,48,-1300,-0.3980275,-1750,-0.53580625,,
40:50.7,61999,116,0,-2075,-0.635313125,-1681,-0.514680175,,
40:50.7,62000,199,48,-2327,-0.712469225,-1828,-0.5596879,,
40:50.7,62001,114,0,-1609,-0.492635575,-2013,-0.616330275,,
40:50.7,62002,198,47,-1147,-0.351182725,-1967,-0.602246225,,
40:50.7,62003,117,0,-1750,-0.53580625,-1795,-0.549584125,,
40:50.7,62004,196,46,-2221,-0.680014675,-1761,-0.539174175,,
40:50.7,62005,117,0,-1440,-0.440892,-1697,-0.519578975,,
40:50.7,62006,197,47,-841,-0.257493175,-1670,-0.51131225,,
40:50.7,62007,117,0,-1554,-0.47579595,-1655,-0.506719625,,
40:50.7,62008,196,46,-2169,-0.664093575,-1650,-0.50518875,,
40:50.7,62009,117,0,-1554,-0.47579595,-1669,-0.511006075,,
